             eV             nm  Absorbance(f)     XX(length)     YY(length)     ZZ(length)      R(length)   XX(velocity)   YY(velocity)   ZZ(velocity)    R(velocity)
         2.4080       514.8900         0.0002         2.1583        10.4943         0.3226         4.3251         4.1042         0.8566         7.7340         4.2316
         2.4293       510.3700         0.0000         0.0096         0.0064         0.8248         0.2802        -0.5862        -0.7855         0.0029        -0.4563
         2.4461       506.8600         0.0007         0.2593         0.0177       229.7352        76.6707       103.2292        79.5490         0.1396        60.9726
         2.4482       506.4300         0.0001        -0.0059        -0.0462        -8.4429        -2.8317        -7.3508        -2.7596        -0.0467        -3.3857
         2.4773       500.4800         0.0078        -0.0004        93.9882        -0.2637        31.2414        65.0461        -0.6445        36.6672        33.6896
         2.4910       497.7300         0.0233        50.7520        17.2672         0.6607        22.8933        28.1883        -0.7220        45.7791        24.4151
         2.4985       496.2300         0.0003        -0.2436        -0.2442       -21.3012        -7.2630       -30.0024       -20.6208        -0.1933       -16.9388
         2.5201       491.9800         0.0116        -0.0447        -0.3903      -191.7784       -64.0711      -126.0686       -71.1368        -0.2383       -65.8146
         2.5760       481.3000         0.0003         0.0262         0.1702      -120.1129       -39.9722       -62.8957       -44.5601         0.0880       -35.7893
         2.5903       478.6600         0.2431       112.7606        52.8700         0.3679        55.3328        28.0379        92.9616        43.6671        54.8889
         2.6053       475.8800         0.0015        -0.0330        -0.4076       -84.9372       -28.4593       -45.0859       -48.7147        -0.1760       -31.3255
         2.6287       471.6600         0.0123         0.0018        -2.0012       101.0209        33.0072        35.3116        74.6331        -0.7885        36.3854
         2.6369       470.1800         0.0472       -48.4390      -815.9552         0.1144      -288.0933      -521.9696        -5.4105      -358.7918      -295.3906
         2.6800       462.6300         0.0007         0.0423        -0.4076        93.0451        30.8933        79.2861        29.9287        -0.2149        36.3333
         2.7094       457.6100         0.0004         0.0807         5.1838         3.5694         2.9446         8.4282         2.6548         2.2154         4.4328
         2.7151       456.6500         0.0484       -12.2460       558.0619        -1.0082       181.6026       330.1472       -11.3110       241.5133       186.7832
