             eV             nm  Absorbance(f)     XX(length)     YY(length)     ZZ(length)      R(length)   XX(velocity)   YY(velocity)   ZZ(velocity)    R(velocity)
         4.1966       295.4400         0.0376       -74.4103        35.0387        -2.0609       -13.8108        46.8465       -34.2204       -47.8601       -11.7446
         4.2040       294.9200         0.0117        -0.0756        -0.4160         2.0438         0.5174         9.6925        -7.7701        -0.0865         0.6120
         4.2069       294.7200         0.0078        -2.0525      -161.8370         1.2033       -54.2287       -98.0210        -1.7870       -73.0251       -57.6110
         4.2099       294.5100         0.0139         0.0405        -2.6133        77.5919        25.0064        73.5443        10.2669        -2.7879        27.0078
         4.2178       293.9500         0.0320        74.4009         4.4120         3.1426        27.3185        34.4824        36.5428         5.6699        25.5650
         4.2186       293.9000         0.0116         1.0134        -0.2565        83.9996        28.2521       -47.5055       134.6687         0.5398        29.2343
         4.2210       293.7300         0.0032         1.8110         0.0459       -44.3866       -14.1766       -61.2383        17.4545         1.2140       -14.1899
         4.2254       293.4300         0.0139        -0.6093       146.0196        -0.0115        48.4662       180.8671        -1.3051       -26.5526        51.0032
         4.2325       292.9300         0.0013         0.0654         1.1133         5.8479         2.3422        23.3010       -16.1907         0.4755         2.5286
         4.2354       292.7300         0.0411       -50.5612       -61.6593        -0.1186       -37.4463       -26.2407       -16.4090       -64.6319       -35.7605
         4.2414       292.3200         0.0072         0.2877         0.3279      -129.5328       -42.9724       -34.1730       -87.2685        -0.6015       -40.6810
         4.2454       292.0500         0.1106       -32.9342       187.2564        -0.1142        51.4027       201.2232       -43.1643        13.7737        57.2775
         4.2508       291.6700         0.0268        25.6322       -11.4907         0.8729         5.0048       -21.4509        -1.0338        34.3218         3.9457
         4.2518       291.6100         0.0029         0.6463         0.4577        40.9709        14.0250        16.4938        27.2146         1.2750        14.9945
         4.2557       291.3400         0.0001         0.8068         0.1902        -5.6500        -1.5510         0.6137         0.5403         0.3542         0.5027
         4.2586       291.1400         0.0125       118.3548        97.5750         0.0176        71.9824        57.7129        65.4872        79.2736        67.4912
         4.2629       290.8400         0.0369       108.8025       -13.3776        -0.2677        31.7191       -31.5215        46.1546        64.1046        26.2459
         4.2705       290.3300         0.0120       -52.5143         4.5676        -1.6947       -16.5471        -2.9494       -21.4107       -23.3265       -15.8955
         4.2729       290.1600         0.0225         0.1170         2.7567      -114.8747       -37.3337       -63.7155       -56.6510         0.5152       -39.9504
         4.2760       289.9500         0.0065         0.1192         2.0636       -35.9059       -11.2410        22.4812       -55.6580         0.2876       -10.9631
         4.2808       289.6300         0.0325        83.5996       157.5791        -0.0001        80.3929       123.4096        46.8131        76.1210        82.1146
         4.2836       289.4400         0.0116        81.5330       -15.1500         0.1748        22.1860        -8.6222        50.7974        23.3306        21.8353
         4.2899       289.0100         0.0362        -6.2433        66.4135        -2.4517        19.2395       -17.2256        -6.5561        87.7816        21.3333
         4.2912       288.9300         0.0110        25.7310        19.3692        11.1684        18.7562         7.5736        21.0830        34.5174        21.0580
         4.2921       288.8700         0.0236       139.2742        -5.9028        -0.9312        44.1467        -1.3008        72.2273        57.2550        42.7271
         4.2947       288.6900         0.0096         0.2879        -0.3814       -51.6722       -17.2552       -34.7819       -26.3917        -0.0959       -20.4232
         4.2963       288.5800         0.0002         0.2982        -0.2236       -12.8224        -4.2493        -4.5070       -16.4303         0.0423        -6.9650
         4.3014       288.2400         0.0625        -4.8857        91.9452         0.4465        29.1687        82.6406       -20.4332        27.2417        29.8164
         4.3083       287.7800         0.0091        62.7068        24.0626        -3.2483        27.8404        20.1134        21.9414        42.6391        28.2313
         4.3110       287.6000         0.0271         0.7752         0.1868      -275.2043       -91.4141      -102.6282      -169.5171         0.7595       -90.4620
         4.3184       287.1100         0.0082       -21.9748       181.2034         0.4721        53.2336       186.8600       -11.2490        -4.6893        56.9739
         4.3204       286.9700         0.0089        -0.0494         4.4334        -4.6287        -0.0816        13.1291       -13.9913        -0.2060        -0.3560
         4.3217       286.8800         0.0008        -0.2657        -0.1154        -3.2521        -1.2110         6.7538       -10.8853        -0.0948        -1.4088
         4.3245       286.7000         0.0021         1.7393        -6.2654        -3.8794        -2.8018        -1.3588         2.0142        -6.4162        -1.9203
         4.3250       286.6700         0.0210        17.5380       -47.4393        -0.1071       -10.0028        11.9090        17.9033       -58.1623        -9.4500
         4.3287       286.4200         0.0009         0.3660         0.4589        15.1580         5.3276        25.8731        -3.7239         0.5073         7.5522
         4.3319       286.2100         0.0041         8.6109        14.8389         3.7764         9.0754         6.7383         6.0144        16.5669         9.7732
         4.3325       286.1700         0.0055         0.0677         4.6134        83.0394        29.2401        44.8105        48.3056         2.1914        31.7692
         4.3424       285.5200         0.0097       -18.5938        14.7029         0.2645        -1.2088         4.7916        -0.7696        -7.5566        -1.1782
         4.3470       285.2200         0.0081         0.4652         0.1694       -49.9154       -16.4269      -113.6213        63.0896         0.2195       -16.7707
         4.3503       285.0000         0.0019       -11.3997        -1.6679        -1.4310        -4.8329        -4.3428        -4.4552        -3.7548        -4.1843
         4.3504       285.0000         0.0013         0.1981         0.0558       -27.9760        -9.2407       -24.6511        -0.9833         0.0547        -8.5266
         4.3541       284.7500         0.0040         2.2268        -0.4926       -72.7846       -23.6835       -54.5665       -14.3936         1.0112       -22.6496
         4.3564       284.6000         0.0799        61.6368        42.6448        -3.8502        33.4771        59.3089        37.3376         0.5145        32.3870
         4.3572       284.5500         0.0052        -5.5754        -0.0429       -12.2906        -5.9696        -3.5615        -8.2246        -5.2598        -5.6820
         4.3605       284.3400         0.0164       -47.6348        -4.9403        -0.0290       -17.5347       -58.1683       -19.1889        29.4951       -15.9541
         4.3684       283.8200         0.0969       -21.1613        24.5705        -0.0063         1.1343        41.8758       -24.1942       -11.3924         2.0964
         4.3731       283.5200         0.0034         3.4249        -6.0994        -2.7765        -1.8170       -18.3831        12.5949         0.2710        -1.8390
         4.3742       283.4400         0.0295        31.9015      -190.7317        -0.2622       -53.0308      -180.9524        29.7951        -5.5845       -52.2473
         4.3792       283.1200         0.0030        -7.1322       -18.0262        42.8514         5.8977        13.5665        11.7726        -8.0840         5.7517
         4.3806       283.0300         0.0203       -56.7203       -76.1580         0.4275       -44.1503       -36.3765       -38.9706       -58.8624       -44.7365
         4.3823       282.9200         0.0097         8.9223        79.1523         4.8046        30.9597        86.1835         7.7189         4.6586        32.8537
         4.3827       282.9000         0.0050        -2.3451        -6.1366        55.1560        15.5581        28.2868        21.1817        -6.8317        14.2122
         4.3906       282.3800         0.0080        -0.1061        -0.1073       -10.4234        -3.5456       -43.4837        33.0290        -0.3008        -3.5851
         4.3957       282.0600         0.0044         0.5635         0.0127       -59.8884       -19.7707       -45.4648        -9.5095         0.2058       -18.2561
         4.4006       281.7400         0.0051         8.2832       -15.6874         1.7322        -1.8906       -33.5083         8.7007        14.8429        -3.3216
         4.4026       281.6200         0.0224         0.9670         0.1378       178.9633        60.0227        82.8923        98.3579         0.5745        60.6082
         4.4037       281.5400         0.0038        -4.6502         1.5910        27.7419         8.2276        11.4873        14.6149        -2.5013         7.8670
         4.4077       281.2900         0.0232         0.0476         0.8339       -64.1309       -21.0831        18.2533       -87.1020         1.8093       -22.3465
         4.4115       281.0500         0.0157        -1.3228         7.5306        -0.5425         1.8884       -84.1429        -1.1761        90.9472         1.8761
         4.4165       280.7300         0.0005         0.0473         1.1866         0.0337         0.4225        -2.7879         1.4804         2.7722         0.4882
         4.4220       280.3800         0.0124        -3.7836        81.4641        -0.2434        25.8124       111.5396         4.9478       -33.7710        27.5721
         4.4229       280.3200         0.0038        -1.0118        -0.8578       -10.7903        -4.2199         5.1126       -18.2722         1.3518        -3.9359
         4.4263       280.1100         0.0798        46.2242       446.1184        -0.1008       164.0806        47.9974        12.1131       457.7349       172.6151
         4.4264       280.1000         0.0583       -13.9940        56.2501        -0.5719        13.8947       199.0749       -28.1078      -126.1482        14.9396
         4.4288       279.9500         0.0008         1.7979         2.3054         4.8611         2.9881        -0.9279         5.9953         4.5893         3.2189
         4.4313       279.7900         0.0061       -16.1888         1.1143         2.7151        -4.1198         2.2229        -6.1655        -8.5743        -4.1723
         4.4330       279.6800         0.0025        -0.5568         0.3134         5.3073         1.6880        -1.3041         0.4195         4.3659         1.1605
         4.4353       279.5400         0.0022         0.6258         0.9374       -22.9248        -7.1206       -34.5266         6.4701         2.0713        -8.6617
         4.4406       279.2100         0.0544       200.2545       -53.6140         4.5201        50.3868         5.1583        96.2234        31.7536        44.3785
         4.4418       279.1300         0.0070        19.2914        -4.1939        46.7684        20.6219        56.8842        -2.7778         4.1875        19.4313
         4.4464       278.8400         0.0003         0.7032        -0.5970         1.4587         0.5216         3.5714        -0.6413        -0.4853         0.8149
         4.4491       278.6700         0.0025        -3.3173         0.6615        26.6893         8.0112        17.3426        11.8721        -1.7452         9.1565
         4.4510       278.5600         0.0523      -157.3795        78.4905         0.0519       -26.2790        30.4359       -86.7061       -22.2741       -26.1814
         4.4524       278.4700         0.0120         4.4820       -32.5224        -0.1529        -9.3977        58.2931        -4.8767       -80.7779        -9.1205
         4.4564       278.2100         0.0217       -28.8585         4.2245       -67.8092       -30.8144       -52.4910       -32.9088       -10.0714       -31.8238
         4.4570       278.1800         0.0131       -18.0794        -0.2751       -35.3798       -17.9114       -35.4583       -18.9755         0.6548       -17.9263
         4.4624       277.8400         0.0052        11.6873       -30.2750         0.0358        -6.1840        26.8520         4.4025       -52.9590        -7.2348
         4.4658       277.6300         0.0051         2.1010        -0.0543        52.2248        18.0905        13.8228        36.5450         0.9862        17.1180
         4.4739       277.1300         0.0284         2.1533        -0.9245      -200.2141       -66.3284      -145.3995       -66.7511         0.6183       -70.5108
         4.4749       277.0700         0.0834        55.9560       -18.8727        -2.5397        11.5145        -8.9489        31.5926         9.2053        10.6164
         4.4805       276.7200         0.0026         0.2891        -6.3326        40.3729        11.4432        10.0254        30.2965        -1.2638        13.0194
         4.4815       276.6600         0.0087        18.0039       -71.6514         3.4855       -16.7206       -50.1198        11.8841        -8.3935       -15.5431
         4.4839       276.5100         0.0126       -72.5802         8.8931         0.3598       -21.1091        15.7960       -37.6471       -37.1477       -19.6662
         4.4912       276.0600         0.0089        10.8725         2.3872       -55.2974       -14.0126       -29.3166       -18.6597         4.7009       -14.4251
         4.4930       275.9500         0.0961        47.5261      -150.4239         1.6535       -33.7481      -129.2534        65.5204       -39.2227       -34.3186
         4.4948       275.8400         0.0126        -4.1876        -6.3127        60.6777        16.7258        28.6182        26.0706        -0.4742        18.0715
         4.4950       275.8300         0.0120        99.7393        16.7863         1.4112        39.3122        -8.0158        57.3514        67.6443        38.9933
         4.4981       275.6300         0.0089       -64.8686        -3.9512         0.6048       -22.7384         4.3154       -45.6396       -24.7443       -22.0228
         4.5047       275.2300         0.0161        33.0937        71.9986         3.0809        36.0578        84.9659        32.1500        -2.6267        38.1631
         4.5064       275.1300         0.0041        -0.7162         0.3389        72.0111        23.8779        52.9169        29.8995        -2.0905        26.9086
         4.5126       274.7500         0.0141        -2.7927       -15.1755        15.2002        -0.9227       -89.9795       108.2535       -22.6573        -1.4611
         4.5130       274.7300         0.0039        -1.6219       -34.9184        -3.2221       -13.2541        -9.0560        16.1268       -49.8996       -14.2763
         4.5135       274.7000         0.0224       -21.8461        23.6910        29.3684        10.4044        86.4947       -24.3300       -26.3016        11.9543
         4.5141       274.6600         0.0228         0.8583       -16.6634        44.4074         9.5341       133.0095       -41.0849       -61.8785        10.0153
         4.5205       274.2700         0.0081        -0.0565        -0.5012       -18.7628        -6.4401        59.3433       -79.4578        -0.6395        -6.9180
         4.5234       274.0900         0.0027         3.2119         8.9658         1.4322         4.5367         2.9036         3.9853         6.9079         4.5989
         4.5240       274.0600         0.0015         1.4390         3.9623         5.4343         3.6118        -1.0887        12.0628         3.0780         4.6840
         4.5337       273.4700         0.0341        -0.0018        -0.0093      -188.9085       -62.9732      -138.5135       -58.8168        -0.0218       -65.7840
         4.5355       273.3600         0.0249       -10.5163      -108.3159        -0.2424       -39.6915       -59.6847       -17.5646       -51.9984       -43.0826
         4.5398       273.1000         0.0159        -0.0890        -0.1232      -141.4126       -47.2083      -146.4664        -4.7678        -0.0866       -50.4403
         4.5430       272.9100         0.0370         3.0287       211.6294         0.1482        71.6021       256.5434         7.6220       -40.5754        74.5300
         4.5473       272.6500         0.0146        56.1148       -21.3704         0.1605        11.6349       -10.6916        46.6588         3.4017        13.1230
         4.5494       272.5300         0.0007         0.2050         0.9505         0.0512         0.4022        -3.3698         4.9075        -0.3270         0.4036
         4.5531       272.3100         0.0006        -0.0383         0.3639        -1.6951        -0.4565        -4.0948         2.7151        -0.7234        -0.7010
         4.5575       272.0500         0.0137        12.7578       -10.9501       -11.3805        -3.1909       -12.2225         6.2974        -4.6468        -3.5240
         4.5588       271.9700         0.0015         0.1775        -0.5693        60.8613        20.1565        21.8753        49.2627        -0.0965        23.6805
         4.5614       271.8100         0.0434         2.4354        -6.1180      -217.4015       -73.6947      -112.5434      -115.1806        -5.3573       -77.6938
         4.5644       271.6400         0.0222         6.3385       -95.4505       -13.7958       -34.3026       -28.8091        -5.3193       -75.7328       -36.6204
         4.5685       271.3900         0.0131       -12.4314        -0.3435        21.2972         2.8408        26.8489        -9.8989        -6.2951         3.5516
         4.5701       271.3000         0.0447       -74.8912        30.1362         0.0026       -14.9174        17.5834       -33.2959       -21.1440       -12.2855
         4.5715       271.2100         0.0018       -24.8262       -25.6461        -3.3902       -17.9542       -17.3423       -11.1531       -26.0076       -18.1677
         4.5741       271.0500         0.0035        -0.8398        -0.3080        78.8977        25.9167        43.6993        38.2621        -0.5907        27.1236
         4.5765       270.9200         0.0595       -71.0842       -22.1265         0.9354       -30.7585       -42.7300        -9.2763       -38.3592       -30.1218
         4.5820       270.5900         0.0054         1.4556        -0.2739        45.8744        15.6854        31.0832        18.9595        -0.7580        16.4282
         4.5846       270.4300         0.0226        17.2574         0.7549      -108.2413       -30.0763       -45.0790       -54.4827         3.2661       -32.0985
         4.5853       270.4000         0.0253        15.9254         1.3203        72.6555        29.9671        65.4105        25.8851         3.0953        31.4636
         4.5866       270.3200         0.0145        25.4795        -0.7282        -2.9733         7.2593        -4.4111        22.5144         3.1700         7.0911
         4.5892       270.1600         0.0535        55.9282       230.8893         1.7576        96.1917       246.2920         1.9836        40.0013        96.0923
         4.5935       269.9100         0.0043        -0.3270        -0.2369        36.2877        11.9079         6.2688        28.5862         0.1269        11.6606
         4.5946       269.8500         0.0528       -25.0464        90.3259        -0.0561        21.7411        72.6745       -22.9101        29.5915        26.4520
         4.5997       269.5500         0.0285        44.9953        41.1342        -1.9895        28.0467       -10.8544        -7.0293       102.5920        28.2361
         4.6010       269.4700         0.0204         0.2380         0.3816         8.4032         3.0076       149.6250      -140.9433         0.8050         3.1622
         4.6072       269.1100         0.0360         5.9439         2.4767      -123.0109       -38.1967      -151.8778        20.0968         7.4350       -41.4487
         4.6079       269.0700         0.0053        15.6563        -7.1876        -7.4934         0.3251       -27.1306        10.4572        19.3134         0.8800
         4.6113       268.8700         0.0086        -1.3190         2.2749        62.9547        21.3035        94.3524       -25.7647         1.0124        23.2000
         4.6123       268.8100         0.0046         1.8874        11.2102        15.2265         9.4414        23.6352        -3.7559         7.7262         9.2018
         4.6140       268.7100         0.0012         0.1663        -0.0365         1.2443         0.4580       -21.4993        22.6004         0.3445         0.4819
         4.6199       268.3700         0.0104        17.5133      -149.7704         0.7422       -43.8383      -137.9635         8.0343       -22.4623       -50.7971
         4.6222       268.2400         0.0210         0.0738        -0.2872        77.8005        25.8624       113.7384       -36.7838        -0.3037        25.5503
         4.6250       268.0800         0.0104        -6.7644       -22.2779        13.6678        -5.1249        27.3476        -4.1833       -37.3512        -4.7290
         4.6257       268.0300         0.0201        -6.1780       -11.3946        36.6655         6.3643        65.6411       -29.0294       -17.4156         6.3987
         4.6288       267.8500         0.0049        -0.7945        -3.5241       -56.4361       -20.2516       -41.6048       -17.0004        -2.1668       -20.2573
         4.6315       267.7000         0.0044       -54.4070        32.6186         0.2145        -7.1913        13.9583       -17.2383       -19.6502        -7.6434
         4.6360       267.4400         0.0447        18.6671       151.2378         0.8434        56.9161        89.0811        10.9560        79.2624        59.7665
         4.6398       267.2200         0.0376        16.8353      -109.7846         0.8424       -30.7023      -143.6295       -20.6631        72.1664       -30.7088
         4.6418       267.1100         0.0051        -0.5652         3.4875        37.6019        13.5081        10.0377        32.3202         0.5120        14.2900
         4.6452       266.9100         0.0014        -0.3002        -0.1013         2.5869         0.7285         1.7168         1.2721        -0.1368         0.9507
         4.6499       266.6400         0.0046         0.2799         1.3386        22.1851         7.9345        42.0221       -18.6380         0.7795         8.0545
         4.6507       266.5900         0.1035       -75.8743        32.0909         0.2929       -14.4968        35.3139       -19.5527       -53.8552       -12.6980
         4.6549       266.3500         0.0022        -0.1815        -0.2747       -75.6653       -25.3738       -79.7344        -5.4182         0.1220       -28.3435
         4.6563       266.2700         0.0152        23.3696       -28.9383         2.3297        -1.0797       -92.7926        11.7285        74.8933        -2.0569
         4.6611       266.0000         0.0150      -109.2137       -26.4908        -0.7583       -45.4876       -21.6869       -47.5195       -63.8580       -44.3548
         4.6660       265.7200         0.0155        -0.7783        -0.7917       -69.3408       -23.6370       -21.1178       -56.5205        -0.0996       -25.9126
         4.6708       265.4500         0.0235        15.6449      -102.6605         0.0814       -28.9781       -35.7769         8.1598       -72.9110       -33.5094
         4.6722       265.3700         0.0008        -1.4207         0.2165        -4.9327        -2.0456        -9.1790         3.6616        -0.5879        -2.0351
         4.6780       265.0400         0.0068        -3.0452        -4.2309        11.8076         1.5105        -4.9607        18.7514        -8.4819         1.7696
         4.6787       265.0000         0.0367       -42.4168         6.4474         0.1334       -11.9453        65.9711       -25.5034       -72.4117       -10.6480
         4.6812       264.8600         0.0344       -96.5954        -6.5221         1.4819       -33.8785        -1.2965       -35.7314       -55.0468       -30.6915
         4.6825       264.7800         0.0086       -10.0737         1.7934        21.5693         4.4297         0.8724        13.1857        -3.7582         3.4333
         4.6864       264.5600         0.0014         0.0833        -0.2145         5.2716         1.7135       -24.8002        30.2426        -0.5116         1.6436
         4.6871       264.5200         0.0113        46.5241         0.9542        -0.2811        15.7324        45.5329        26.3526       -25.5238        15.4539
         4.6902       264.3500         0.0241        46.5656         5.5696        -0.0555        17.3599         8.8310        14.9815        26.3893        16.7340
         4.6963       264.0100         0.0008         0.1013         0.9206        28.9088         9.9769        -5.9743        28.1952         1.1731         7.7980
         4.6997       263.8200         0.0034        -0.0405         0.0177        -4.0264        -1.3497        -5.8684         2.2403        -0.0459        -1.2247
         4.7005       263.7700         0.0130       -21.5227        15.5241        -0.6264        -2.2084         9.8399        -6.0695        -7.3485        -1.1927
         4.7046       263.5400         0.0003         0.3667        -0.0269        -6.7711        -2.1438        -0.5246        -6.2226         0.2586        -2.1629
         4.7051       263.5100         0.0098        35.5989        12.6882         0.6672        16.3181         4.8864        16.9852        22.3399        14.7371
         4.7098       263.2500         0.0128        32.8567       -20.0896        -0.9857         3.9271       -48.2072         1.6724        54.4030         2.6227
         4.7112       263.1700         0.0013         0.2211        -0.2650       -13.2021        -4.4153        -6.7473        -4.9752         1.1159        -3.5356
         4.7136       263.0300         0.0018         2.9291        10.2463         0.4230         4.5328         9.1145        -0.3265         5.9114         4.8998
         4.7160       262.9000         0.0062         0.0289         0.1101       147.7069        49.2820        82.8895        60.4215         0.0171        47.7760
         4.7178       262.8000         0.0068        -0.1326        -0.6547        37.0090        12.0739        -9.4406        45.0024         0.0273        11.8630
         4.7222       262.5600         0.0151       -17.7973         7.4282         6.7480        -1.2070         4.5284         7.6148       -14.9258        -0.9275
         4.7232       262.5000         0.0455        -4.8862         1.6550       132.7020        43.1569        28.2083       109.6513        -2.3650        45.1649
         4.7264       262.3200         0.0039        -1.7933        -1.0441       -26.3936        -9.7437        -6.3610       -21.0033         1.6009        -8.5878
         4.7277       262.2500         0.0195       -36.2712       -13.4118         0.1067       -16.5254       -10.1289       -43.5170         9.3354       -14.7702
         4.7289       262.1800         0.0023        -0.0062        -0.8842       -27.5123        -9.4675       -20.6780        -5.2689        -0.1487        -8.6985
         4.7338       261.9100         0.2394      -115.3062      -215.2267        -0.7021      -110.4117      -113.4578      -106.4210      -121.1806      -113.6864
         4.7387       261.6400         0.0010         4.1018         2.0404        -1.8341         1.4360        -0.4118        -0.5460         6.5382         1.8601
         4.7396       261.5900         0.0182        -0.1570         0.0634      -146.2860       -48.7932      -150.1992       -11.3177        -0.0331       -53.8500
         4.7412       261.5000         0.0105       -17.9590       -27.5349        12.3743       -11.0399         9.7724       -28.7236       -14.4303       -11.1272
         4.7417       261.4800         0.0189        -0.1128        -3.9088       130.9667        42.3150       119.1290        20.1737        -2.6969        45.5353
         4.7461       261.2400         0.0060         6.1393        49.7857        -2.2716        17.8845        26.2774         1.2371        29.7687        19.0944
         4.7492       261.0600         0.0051         1.4673        -2.4713       -34.8396       -11.9479         9.5972       -51.5263         0.9395       -13.6632
         4.7530       260.8500         0.0026         5.5171        -0.6696       -35.1286       -10.0937       -34.5149         9.7112         4.2581        -6.8485
         4.7546       260.7700         0.0326        78.1450       -12.8020         2.9133        22.7521       -12.6074        12.8425        64.5562        21.5971
         4.7550       260.7400         0.0430       102.9443       -17.4655        -1.1818        28.0990       -20.9678        14.0348        84.6867        25.9179
         4.7605       260.4400         0.0021         1.0019         1.1140        -6.1812        -1.3551         3.6707        -5.7648        -2.1757        -1.4233
         4.7624       260.3400         0.0730        56.6731       -62.4538        -0.1507        -1.9771        93.8024        49.5160      -154.2037        -3.6284
         4.7647       260.2100         0.0132        -0.5071         0.0105         8.4686         2.6573       -56.8126        65.6916        -0.4469         2.8107
         4.7660       260.1400         0.0039        29.5432        -4.7373        -0.1740         8.2107       -11.9151        10.4215        19.5620         6.0228
         4.7679       260.0400         0.0326        57.7031        51.0765        -0.0751        36.2348        75.2656        24.6555         2.9824        34.3012
         4.7708       259.8800         0.0004         1.2495        -0.0368        -0.2199         0.3309        -2.2161         2.9347         0.3089         0.3425
         4.7713       259.8500         0.0259       -45.3548       -86.0247         0.1039       -43.7586       -75.3086       -36.5747       -21.1833       -44.3555
         4.7760       259.6000         0.0001        -4.7128        -2.4553         0.1417        -2.3421         3.1058        -2.9312       -10.8604        -3.5619
         4.7778       259.5000         0.0009         2.6928        -1.4180         2.6751         1.3166         0.5172         2.9691         0.4748         1.3204
         4.7829       259.2200         0.0057        -0.9554        -1.6845      -126.2013       -42.9471       -69.6872       -68.0819        -1.1503       -46.3065
         4.7837       259.1800         0.0098         6.5900       -13.2142       -40.4102       -15.6781       -28.4459       -20.8939        -3.4398       -17.5932
         4.7867       259.0200         0.0016        -0.2202        -0.2571         2.9860         0.8362        -8.9107        10.6237         0.2424         0.6518
         4.7886       258.9100         0.0163        18.6964        -0.0172       -63.8873       -15.0694        25.7670       -80.6563         7.6194       -15.7566
         4.7907       258.8000         0.1906       225.1379         1.9741        -3.6224        74.4965       -25.5123       113.1572       121.9872        69.8774
         4.7940       258.6200         0.0063       -19.4566         2.0130        -2.4604        -6.6347       -37.5483       -21.2570        39.1814        -6.5413
         4.7953       258.5500         0.0063        -9.8314         0.7221       -25.7513       -11.6202        -6.4287       -23.0003        -0.5459        -9.9916
         4.7984       258.3900         0.0897      -245.5037       -69.1850        -0.2566      -104.9818       -40.4416       -96.2816      -160.6304       -99.1179
         4.8025       258.1700         0.0402        15.6107       140.3151         1.2530        52.3929        89.9720         5.4376        73.1702        56.1933
         4.8032       258.1300         0.0048        -3.1388         1.9042        25.6214         8.1289        -8.9452        35.4143         1.1458         9.2050
         4.8107       257.7300         0.0010         0.7165         0.3567         8.0502         3.0411         8.5409         1.0451         2.1424         3.9095
         4.8129       257.6100         0.0038       -13.0921        15.0595        -0.9711         0.3321       -10.0743        -5.8921        20.0743         1.3693
         4.8154       257.4700         0.0087         2.0360      -117.8840        -1.2683       -39.0388       -46.9317         0.4103       -68.2972       -38.2729
         4.8166       257.4100         0.0046         0.1334        -1.9021       -44.3379       -15.3689       -52.5425         8.6472        -0.7429       -14.8794
         4.8208       257.1900         0.0003        -0.1413        -2.7776        -4.0880        -2.3356       -12.3064         1.8094        -1.9774        -4.1581
         4.8265       256.8800         0.0057         0.1460        -0.4516        15.1984         4.9643        81.5651       -65.0728         1.0342         5.8422
         4.8268       256.8700         0.0016         3.4287       -13.0218         4.4681        -1.7083         6.9001        -6.9168         3.0431         1.0088
         4.8316       256.6100         0.0073       -42.4195        23.7847        -0.7295        -6.4548        20.8098       -13.8376       -19.4921        -4.1733
         4.8342       256.4700         0.0213       -40.6631        -2.4788        -0.2412       -14.4610        -8.4323       -11.4438       -22.4083       -14.0948
         4.8351       256.4300         0.0014         0.3183         2.1965       -13.8886        -3.7913         0.5690       -11.8473         1.7667        -3.1705
         4.8381       256.2600         0.0146       -36.5648        -2.7978        -6.0469       -15.1365       -23.6569       -38.9489        16.0227       -15.5277
         4.8387       256.2400         0.0062        -0.6896        -0.0531       -26.0739        -8.9388         1.9376       -29.6547         0.4866        -9.0768
         4.8395       256.1900         0.0146        -2.6785        -0.3308       -86.4273       -29.8122      -133.3612        37.8577         1.4794       -31.3414
         4.8469       255.8000         0.0590         6.6044        15.8315        -0.4067         7.3431         4.0749       -43.7690        56.8153         5.7071
         4.8508       255.6000         0.0070        -1.0401         1.5529       -65.3989       -21.6287       -75.2208        14.3249        -0.1329       -20.3429
         4.8535       255.4600         0.0010        -7.3493        12.6339         5.4893         3.5913         4.9642        -0.1398         1.1369         1.9871
         4.8540       255.4300         0.0017       -10.3518        12.2129       -17.1661        -5.1016        -9.8430        -6.6328        -1.8008        -6.0922
         4.8577       255.2300         0.0041        -0.4316       -25.5211        -2.9450        -9.6326       -20.1684         6.7352       -16.7711       -10.0681
         4.8578       255.2300         0.0040         2.7616       -35.9597        -0.9546       -11.3842       -20.0732         6.3931       -22.0017       -11.8939
         4.8622       254.9900         0.0325        28.5492         0.1139         2.7407        10.4679        18.4128         9.7420         1.2910         9.8153
         4.8642       254.8900         0.0239         1.2682        -0.0828       152.1524        51.1126        21.8934       135.8113         0.2502        52.6516
         4.8658       254.8000         0.0340        42.7093         8.8867         0.5021        17.3660       -21.2270        19.0260        52.9297        16.9096
         4.8674       254.7200         0.0115         0.4656         0.0785      -130.8557       -43.4372        10.7309      -152.0340         0.0268       -47.0921
         4.8718       254.5000         0.0124         0.2904        -0.0149       -33.8006       -11.1750        11.6116       -44.4366        -1.1224       -11.3158
         4.8725       254.4600         0.0074        -4.2041       -99.8908         0.6994       -34.4652       -67.3275        -5.1274       -40.3292       -37.5947
         4.8760       254.2800         0.0018         5.3920       -24.2732        18.4934        -0.1293       -15.7440        20.3778         1.3743         2.0027
         4.8764       254.2500         0.0054        -0.6976        -3.6959        67.0319        20.8795        -0.3003        65.5836        -0.1717        21.7039
         4.8800       254.0600         0.0010         0.7014         0.3591         0.4134         0.4913        -4.8717         6.7688        -0.0292         0.6227
         4.8805       254.0400         0.0283       106.4095       -35.5865        -0.5479        23.4250       -27.3564        56.2857        30.6933        19.8742
         4.8872       253.6900         0.0005        11.6428        -2.8225         0.2044         3.0083         1.1974         4.4496         6.4238         4.0236
         4.8888       253.6100         0.0678       -48.5915        85.9975         0.4328        12.6129       174.6691       -35.3353       -94.4569        14.9589
         4.8903       253.5300         0.0057        -1.1715         1.6117        11.9715         4.1373        11.8873         6.4686        -4.7913         4.5215
         4.8950       253.2900         0.0031        -0.1301        -0.1793       -30.9257       -10.4117       -93.2766        58.4358        -0.0078       -11.6162
         4.8962       253.2200         0.0008       -15.6377        -7.2010        -0.3150        -7.7179        -8.2741       -10.7989        -1.0217        -6.6982
         4.8993       253.0700         0.0174        -3.1603        -3.4793      -122.2073       -42.9490      -116.6519       -20.4725        -1.4956       -46.2067
